hs1	155135035	155135036
hs1	205723571	205723572
hs1	232664610	232664611
hs2	135539966	135539967
hs2	169110393	169110394
hs3	87520856	87520857
hs3	182762436	182762437
hs4	951946	951947
hs4	15737100	15737101
hs4	77198985	77198986
hs4	90626110	90626111
hs6	32666659	32666660
hs7	23293745	23293746
hs10	121536326	121536327
hs11	83544471	83544472
hs11	133765366	133765367
hs12	40614433	40614434
hs12	123303585	123303586
hs14	55348868	55348869
hs14	67984369	67984370
hs15	61994133	61994134
hs16	31121792	31121793
hs17	43994647	43994648
hs18	40673379	40673380
hs19	2363318	2363319
hs20	3168165	3168166
		
		
		
		
		
		
