hs1	155135035	155135036	GBA-SYT11
hs1	205723571	205723572	RAB7L1-NUCKS1
hs1	232664610	232664611	SIPA1L2
hs2	135539966	135539967	ACMSD-TMEM163
hs2	169110393	169110394	STK39
hs3	87520856	87520857	KRT8P25-APOOP2
hs3	182762436	182762437	MCCC1
hs4	951946	951947	TMEM175-GAK-DGKQ
hs4	15737100	15737101	BST1
hs4	77198985	77198986	FAM47E-SCARB2
hs4	90626110	90626111	SNCA
hs6	32666659	32666660	HLA-DQB1
hs7	23293745	23293746	GPNMB
hs10	121536326	121536327	INPP5F
hs11	83544471	83544472	DLG2
hs11	133765366	133765367	MIR4697
hs12	40614433	40614434	LRRK2
hs12	123303585	123303586	CCDC62
hs14	55348868	55348869	GCH1
hs14	67984369	67984370	TMEM229B
hs15	61994133	61994134	VPS13C
hs16	31121792	31121793	BCKDK-STX1B
hs17	43994647	43994648	MAPT
hs18	40673379	40673380	RIT2
hs19	2363318	2363319	SPPL2B
hs20	3168165	3168166	DDRGK1






